Store Number,Name,Address,City,State,Zip,Phone,Email,Website,Mon Open,Mon Close,Tue Open,Tue Close,Wed Open,Wed Close,Thu Open,Thu Close,Fri Open,Fri Close,Sat Open,Sat Close,Sun Open,Sun Close,Open 7 Days,Services,Brands,Products,Signature Store,Featured Store,Specialty Store,Latitude,Longitude,URL
10000050,DAVIS FARM SUPPLY,224 SOUTH AVE,SCALES MOUND,IL,61075-9621,(815) 845-2262,,,08:00 AM,05:00 PM,08:00 AM,05:00 PM,08:00 AM,05:00 PM,08:00 AM,05:00 PM,08:00 AM,05:00 PM,08:00 AM,12:00 PM,,,False,in_store_pickup,"benjamin_moore, coronado, inslx",regal_ext,False,False,False,42.476358,-90.251374,https://www.benjaminmoore.com/en-us/store-locator/10000050/davis-farm-supply
10000055,ACE HARDWARE & RENTAL - SCOTTS,10300 N SCOTTSDALE RD STE 200,SCOTTSDALE,AZ,85253-1449,(480) 368-8343,,,07:00 AM,07:00 PM,07:00 AM,07:00 PM,07:00 AM,07:00 PM,07:00 AM,07:00 PM,07:00 AM,07:00 PM,08:00 AM,06:00 PM,08:00 AM,06:00 PM,True,"ismor, open_7_days",benjamin_moore,"ben, ben_int, element_guard, regal, regal_int",False,False,False,33.578994,-111.926155,https://www.benjaminmoore.com/en-us/store-locator/10000055/ace-hardware-rental-scotts
10000058,SNOWS HOME & GARDEN,22 MAIN ST,ORLEANS,MA,02653-2418,(508) 255-0158,PAINT@SNOWSCAPECOD.COM ;PAINT@SNOWSCAPECOD.COM,WWW.SNOWSCAPECOD.COM,07:30 AM,05:30 PM,07:30 AM,05:30 PM,07:30 AM,05:30 PM,07:30 AM,05:30 PM,07:30 AM,05:30 PM,07:30 AM,05:30 PM,09:00 AM,05:00 PM,True,"in_store_pickup, open_7_days","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, regal, regal_ext, regal_int, wb_ceiling, woodluxe",True,False,False,41.789905,-69.993124,https://www.benjaminmoore.com/en-us/store-locator/10000058/snows-home-garden
10000061,AUBUCHON HARDWARE,66 HIGH ST,CARTHAGE,NY,13619-1350,(315) 493-2506,140@AUBUCHONHARDWARE.COM ;BENMOORE-ORDERS@HARDWARESTORE.COM,WWW.HARDWARESTORE.COM,07:30 AM,07:00 PM,07:30 AM,07:00 PM,07:30 AM,07:00 PM,07:30 AM,07:00 PM,07:30 AM,07:00 PM,07:30 AM,06:00 PM,09:00 AM,05:00 PM,True,"in_store_pickup, ismor, open_7_days","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, ecospec, element_guard, regal, regal_ext, regal_int, wb_ceiling, woodluxe",False,False,False,43.969508,-75.623879,https://www.benjaminmoore.com/en-us/store-locator/10000061/aubuchon-hardware
10000062,"BUSS PAINTS,INC.",327 MAIN ST,EMMAUS,PA,18049-2704,(610) 965-5466,BUSSPNT@GMAIL.COM,WWW.BUSSPAINTS.COM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,07:30 AM,06:00 PM,09:00 AM,02:00 PM,,,False,"in_store_decorator, in_store_pickup","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, regal, regal_ext, regal_int, wb_ceiling, woodluxe",False,False,False,40.535547,-75.490859,https://www.benjaminmoore.com/en-us/store-locator/10000062/buss-paintsinc
10000066,DUGAN'S PAINT & FLOORING,4295 OSAGE BEACH PKWY,OSAGE BEACH,MO,65065-2168,(573) 348-9017,BRIAN@DUGANPAINTS.COM ;TTOMLINSON@DUGANS1871.COM,WWW.DUGANPAINTS.COM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,08:00 AM,12:00 PM,,,False,"in_store_decorator, in_store_pickup, ismor","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, ecospec, regal, regal_ext, regal_int, wb_ceiling, woodluxe",True,False,False,38.15096,-92.617192,https://www.benjaminmoore.com/en-us/store-locator/10000066/dugans-paint-flooring
10000067,"CHANGING COLORS, INC.",5301 COTTAGE HILL RD STE D,MOBILE,AL,36609-6417,(251) 661-8029,,,06:00 AM,05:00 PM,06:00 AM,05:00 PM,06:00 AM,05:00 PM,06:00 AM,05:00 PM,06:00 AM,05:00 PM,,,,,False,,"benjamin_moore, coronado, corotech, inslx","advance, ben, ben_int, element_guard, regal, regal_ext, regal_int, woodluxe",False,False,False,30.647749,-88.163558,https://www.benjaminmoore.com/en-us/store-locator/10000067/changing-colors-inc
10000068,ROGERS ACE HARDWARE,21351 JOHN MILLESS DR,ROGERS,MN,55374-9450,(763) 898-3999,,,08:00 AM,07:00 PM,08:00 AM,07:00 PM,08:00 AM,07:00 PM,08:00 AM,07:00 PM,08:00 AM,07:00 PM,08:00 AM,06:00 PM,09:00 AM,05:00 PM,True,"ismor, open_7_days","benjamin_moore, inslx","advance, ben, ben_int, element_guard, regal, regal_int",False,False,False,45.191145,-93.550058,https://www.benjaminmoore.com/en-us/store-locator/10000068/rogers-ace-hardware
10000071,"BUILDERS SUPPLY MONTEAGLE, LLC",239 COLLEGE ST,MONTEAGLE,TN,37356-7005,(931) 924-2048,,,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,08:00 AM,12:00 PM,,,False,,"benjamin_moore, coronado, corotech, inslx","advance, aura, aura_ext, aura_int, regal, regal_int, wb_ceiling, woodluxe",False,False,False,35.24091,-85.83338,https://www.benjaminmoore.com/en-us/store-locator/10000071/builders-supply-monteagle-llc
10000081,HIRSHFIELD'S  INC.,"100 36TH ST S, STE 130",FARGO,ND,58103-1224,(701) 235-0549,STORE018@HIRSHFIELDS.COM,WWW.HIRSHFIELDS.COM/,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,08:00 AM,12:00 PM,00:00 AM,00:00 PM,False,"in_store_pickup, ismor","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, ecospec, element_guard, regal, regal_ext, regal_int, wb_ceiling, woodluxe",False,False,False,46.876343,-96.833176,https://www.benjaminmoore.com/en-us/store-locator/10000081/hirshfields-inc
10000083,"MARTIN HARDWARE, INC.",1949 E MASON ST,GREEN BAY,WI,54302-3922,(920) 432-4845,,,07:30 AM,08:00 PM,07:30 AM,08:00 PM,07:30 AM,08:00 PM,07:30 AM,08:00 PM,07:30 AM,08:00 PM,07:30 AM,05:00 PM,09:00 AM,02:00 PM,True,open_7_days,benjamin_moore,"advance, ben, ben_int, element_guard, regal, regal_int",False,False,False,44.490858,-87.976524,https://www.benjaminmoore.com/en-us/store-locator/10000083/martin-hardware-inc
10000086,"ISLAND HARDWARE, INC.",1417 THE GLOAMING,FISHERS ISLAND,NY,06390-7796,(631) 788-7233,,ISLHDW@FISHERSISLAND.NET,08:00 AM,03:45 PM,08:00 AM,03:45 PM,08:00 AM,03:45 PM,08:00 AM,03:45 PM,08:00 AM,03:45 PM,08:00 AM,12:00 PM,,,False,,"benjamin_moore, coronado, inslx","advance, aura, aura_ext, aura_int, regal, regal_ext, regal_int, wb_ceiling",False,False,False,41.269251,-71.990516,https://www.benjaminmoore.com/en-us/store-locator/10000086/island-hardware-inc
10000090,GALLUP LUMBER & SUPPLY CO.,1724 S SECOND ST,GALLUP,NM,87301-5819,(505) 863-4475,,,07:30 AM,05:00 PM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,07:30 AM,05:00 PM,,,False,,"benjamin_moore, inslx",,False,False,False,35.510988,-108.738541,https://www.benjaminmoore.com/en-us/store-locator/10000090/gallup-lumber-supply-co
10000091,JERRY'S HOME IMPROVEMENT,2600 HIGHWAY 99 N,EUGENE,OR,97402-9706,(541) 689-7848,,,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,08:00 AM,06:00 PM,True,"ismor, open_7_days","benjamin_moore, coronado, inslx","advance, aura, aura_ext, aura_int, ben, ben_int, element_guard, regal, regal_ext, regal_int, wb_ceiling, woodluxe",False,False,False,44.097505,-123.169594,https://www.benjaminmoore.com/en-us/store-locator/10000091/jerrys-home-improvement
10000105,ACE HARDWARE OF WALDEN,2000 TAFT HWY,SIGNAL MOUNTAIN,TN,37377-3367,(423) 517-0177,,BENJAMINMOOREACE.COM,08:00 AM,08:00 PM,08:00 AM,08:00 PM,08:00 AM,08:00 PM,08:00 AM,08:00 PM,08:00 AM,08:00 PM,08:00 AM,08:00 PM,12:00 PM,06:00 PM,True,"ismor, open_7_days","benjamin_moore, coronado, inslx","advance, aura, aura_int, ben, ben_int, element_guard, regal, regal_int, wb_ceiling",False,False,False,35.154947,-85.317747,https://www.benjaminmoore.com/en-us/store-locator/10000105/ace-hardware-of-walden
10000107,"MARTIN & JONES, INC.",422 W EDGAR AVE,RONCEVERTE,WV,24970,(304) 647-5353,ACCOUNTING@MARTINJONES.COM,,08:00 AM,05:00 PM,08:00 AM,05:00 PM,08:00 AM,05:00 PM,08:00 AM,05:00 PM,08:00 AM,05:00 PM,08:00 AM,12:00 PM,,,False,,"benjamin_moore, corotech, inslx","advance, aura, aura_int, ben, ben_int, regal, regal_ext, regal_int, woodluxe",False,False,False,37.748176,-80.465459,https://www.benjaminmoore.com/en-us/store-locator/10000107/martin-jones-inc
10000108,BETTER LIVING DEPARTMENT STORE,77 E RAILROAD AVE,JAMESBURG,NJ,08831-1207,(732) 521-1555,INFO@BETLIVINGNJ.COM,WWW.BETTERLIVINGAPPLIANCES.COM,08:30 AM,06:30 PM,08:30 AM,06:30 PM,08:30 AM,06:30 PM,08:30 AM,06:30 PM,08:30 AM,06:30 PM,08:30 AM,05:00 PM,11:00 AM,02:00 PM,True,"in_store_pickup, open_7_days","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_int, ben, ben_int, element_guard, regal, regal_ext, regal_int, wb_ceiling, woodluxe",False,False,False,40.352305,-74.439955,https://www.benjaminmoore.com/en-us/store-locator/10000108/better-living-department-store
10000110,VALLEY LUMBER & RENTAL,9 SAGEBRUSH DR,VICTOR,ID,83455-5319,(208) 787-9663,,,07:30 AM,05:30 PM,07:30 AM,05:30 PM,07:30 AM,05:30 PM,07:30 AM,05:30 PM,07:30 AM,05:30 PM,08:00 AM,03:00 PM,,,False,,"benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_int, ben, ben_int, regal, regal_ext, regal_int, wb_ceiling, woodluxe",False,False,False,43.606957,-111.138388,https://www.benjaminmoore.com/en-us/store-locator/10000110/valley-lumber-rental
10000111,CHARLESTON ACE HARDWARE- CHARL,1320 E ST,CHARLESTON,IL,61920-2526,(217) 345-8665,CHARRISON@NIEMANNFOODS.COM ;651SD@NIEMANNFOODS.COM,,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,07:00 AM,08:00 PM,09:00 AM,06:00 PM,True,"in_store_pickup, ismor, open_7_days","benjamin_moore, corotech, inslx","advance, ben, ben_int, element_guard, regal, regal_ext, regal_int",False,False,False,39.486843,-88.186538,https://www.benjaminmoore.com/en-us/store-locator/10000111/charleston-ace-hardware-charl
10000116,QUARLES SUPPLY CO. INC.,3251 S SPRINGFIELD AVE,BOLIVAR,MO,65613-8620,(417) 777-2391,,,08:00 AM,05:00 PM,08:00 AM,05:00 PM,08:00 AM,05:00 PM,08:00 AM,05:00 PM,08:00 AM,05:00 PM,,,,,False,,"benjamin_moore, coronado, corotech","ben, ben_int, regal, regal_ext, regal_int",True,False,False,37.584685,-93.399232,https://www.benjaminmoore.com/en-us/store-locator/10000116/quarles-supply-co-inc
10000117,SPECTRUM PAINT CO,11560 N 135TH E AVE,OWASSO,OK,74055-3437,(918) 274-9966,STORE15@SPECTRUMPAINT.COM ;STORE15@SPECTRUMPAINT.COM,,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,08:00 AM,04:00 PM,,,False,"in_store_pickup, ismor","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, ecospec, element_guard, regal, regal_ext, regal_int, wb_ceiling, woodluxe",True,False,False,36.3221,-95.82544,https://www.benjaminmoore.com/en-us/store-locator/10000117/spectrum-paint-co
10000130,SWAINSBORO SUPPLY CO. INC,360 E MAIN ST,SWAINSBORO,GA,30401-3601,(478) 237-8876,,,07:30 AM,05:30 PM,07:30 AM,05:30 PM,07:30 AM,05:30 PM,07:30 AM,05:30 PM,07:30 AM,05:30 PM,08:00 AM,12:00 PM,00:00 AM,00:00 PM,False,,"benjamin_moore, coronado, corotech, inslx","advance, ben, ben_int, element_guard, woodluxe",False,False,False,32.598787,-82.325919,https://www.benjaminmoore.com/en-us/store-locator/10000130/swainsboro-supply-co-inc
10000133,SAMUEL YOSPIN & SONS  INC.,386 NORTH AVE,DUNELLEN,NJ,08812-1296,(732) 968-0686,FILA170@YAHOO.COM,WWW.YOSPINPAINT.COM,06:00 AM,04:00 PM,06:00 AM,04:00 PM,06:00 AM,04:00 PM,06:00 AM,04:00 PM,06:00 AM,04:00 PM,07:00 AM,02:00 PM,00:00 AM,00:00 PM,False,in_store_pickup,"benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, element_guard, regal, regal_ext, regal_int, wb_ceiling, woodluxe",True,False,False,40.590666,-74.464938,https://www.benjaminmoore.com/en-us/store-locator/10000133/samuel-yospin-sons-inc
10000135,NORTH IOWA CITY ACE HARDWARE,600 N DODGE ST,IOWA CITY,IA,52245-2032,(319) 354-4112,,,08:00 AM,08:00 PM,08:00 AM,08:00 PM,08:00 AM,08:00 PM,08:00 AM,08:00 PM,08:00 AM,08:00 PM,08:00 AM,06:00 PM,09:00 AM,05:00 PM,True,"ismor, open_7_days","benjamin_moore, inslx","advance, aura, aura_int, ben, ben_int, element_guard, regal, regal_int, wb_ceiling",False,False,False,41.66794,-91.525659,https://www.benjaminmoore.com/en-us/store-locator/10000135/north-iowa-city-ace-hardware
10000136,RING'S END,149 WESTPORT AVE,NORWALK,CT,06851-5233,(203) 663-4450,WEBSALES@RINGSEND.COM ;SAL.MIGLIORELLI@RINGSEND.COM,WWW.RINGSEND.COM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,,,False,"in_store_decorator, in_store_pickup, ismor","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, ecospec, element_guard, regal, regal_ext, regal_int, wb_ceiling, woodluxe",True,False,False,41.12347,-73.40116,https://www.benjaminmoore.com/en-us/store-locator/10000136/rings-end
10000139,AMSTERDAM COLOR WORKS,3326 MERRITT AVE,BRONX,NY,10475-1307,(718) 828-8000,,,09:00 AM,05:00 PM,,,,,,,,,,,,,False,,"corotech, inslx",,False,False,True,40.882159,-73.826437,https://www.benjaminmoore.com/en-us/store-locator/10000139/amsterdam-color-works
10000140,GRIFFIN LUMBER & HARDWARE,153 ROBERT B LEE DR,LEESBURG,GA,31763-2601,(229) 759-2963,,,07:00 AM,04:00 PM,07:00 AM,04:00 PM,07:00 AM,04:00 PM,07:00 AM,04:00 PM,07:00 AM,04:00 PM,,,,,False,ismor,"benjamin_moore, coronado, corotech, inslx","advance, aura, aura_int, ben, ben_int, element_guard, regal, regal_ext, regal_int, woodluxe",False,False,False,31.719847,-84.168766,https://www.benjaminmoore.com/en-us/store-locator/10000140/griffin-lumber-hardware
10000141,LELAND ACE HARDWARE,117 VILLAGE RD NE,LELAND,NC,28451-7413,(910) 383-6688,,HTTPS://WWW.LELANDACEHARDWARE.COM/,08:00 AM,06:00 PM,08:00 AM,06:00 PM,08:00 AM,06:00 PM,08:00 AM,06:00 PM,08:00 AM,06:00 PM,08:00 AM,06:00 PM,,,False,ismor,"benjamin_moore, inslx","ben, ben_int, element_guard, regal, regal_int",False,False,False,34.234115,-78.000047,https://www.benjaminmoore.com/en-us/store-locator/10000141/leland-ace-hardware
10000145,POINTERS ACE HARDWARE,1818 W INNES ST,SALISBURY,NC,28144-2510,(980) 330-6700,DANNY@POINTERSHARDWARE.COM ;INO@POINTERSHARDWARE.COM ;INO@POINTERSHARDWARE.COM ;DAVIDSAYSBITEME@YAHOO.COM ;DAVIDSAYSBITEME@YAHOO.COM,,08:00 AM,06:00 PM,08:00 AM,06:00 PM,08:00 AM,06:00 PM,08:00 AM,06:00 PM,08:00 AM,06:00 PM,08:00 AM,05:00 PM,,,False,"in_store_pickup, ismor","benjamin_moore, inslx","advance, aura, aura_int, ben, ben_int, element_guard, regal, regal_ext, regal_int",False,False,False,35.68564,-80.48196,https://www.benjaminmoore.com/en-us/store-locator/10000145/pointers-ace-hardware
10000151,FAIRFIELD PAINT LLC,3032 COLUMBUS LANCASTER RD NW,LANCASTER,OH,43130-8125,(740) 687-9034,PHIL.STALEY@FAIRFIELDPAINTS.COM ;FAIRFIELDPAINTS@GMAIL.COM ;JASON.ROUSH@FAIRFIELDPAINTS.COM ;ZAINWHITAKER@FAIRFIELDPAINTS.COM,WWW.FAIRFIELDPAINTS.COM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,07:00 AM,05:00 PM,08:00 AM,03:00 PM,,,False,"in_store_decorator, in_store_pickup","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, element_guard, regal, regal_ext, regal_int, wb_ceiling, woodluxe",True,False,False,39.751677,-82.660189,https://www.benjaminmoore.com/en-us/store-locator/10000151/fairfield-paint-llc
10000157,COASTAL HDWE & BLDG SUPPLY INC,6033 HABERSHAM ST,BRUNSWICK,GA,31520-2769,(912) 264-6322,,,06:30 AM,05:00 PM,06:30 AM,05:00 PM,06:30 AM,05:00 PM,06:30 AM,05:00 PM,06:30 AM,05:00 PM,08:00 AM,01:00 PM,,,False,,"benjamin_moore, coronado, corotech, inslx","advance, ben, ben_int, element_guard, regal, regal_ext, regal_int, wb_ceiling",False,False,False,31.196168,-81.496784,https://www.benjaminmoore.com/en-us/store-locator/10000157/coastal-hdwe-bldg-supply-inc
10000161,VIENNA PAINT OF ASHBURN,22135 DAVIS DR STE 101,STERLING,VA,20164-5365,(703) 450-0300,STERLINGPNT@GET-WIRELESS.US ;STERLINGPNT@GET-WIRELESS.US ;MARKMUTICH@GMAIL.COM ;ANDREWGMOSHER@GMAIL.COM,WWW.VIENNAPAINT.BIZ,07:00 AM,05:30 PM,07:00 AM,05:30 PM,07:00 AM,05:30 PM,07:00 AM,05:30 PM,07:00 AM,05:30 PM,08:00 AM,05:00 PM,,,False,"in_store_decorator, in_store_pickup, ismor","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, ecospec, element_guard, regal, regal_ext, regal_int, wb_ceiling, woodluxe",True,False,False,39.003311,-77.429087,https://www.benjaminmoore.com/en-us/store-locator/10000161/vienna-paint-of-ashburn
10000162,ORGAIN BUILDING SUPPLY,65 COMMERCE ST,CLARKSVILLE,TN,37040-3682,(931) 647-1567,,,07:00 AM,04:00 PM,07:00 AM,04:00 PM,07:00 AM,04:00 PM,07:00 AM,04:00 PM,07:00 AM,04:00 PM,,,,,False,,"benjamin_moore, coronado, corotech, inslx","ben, ben_int, regal, regal_ext, regal_int, woodluxe",False,False,False,36.525661,-87.361441,https://www.benjaminmoore.com/en-us/store-locator/10000162/orgain-building-supply
10000164,AUBUCHON HARDWARE,700 MAIN ST STE 6,GREAT BARRINGTON,MA,01230-2179,(413) 528-2900,033@AUBUCHONHARDWARE.COM ;BENMOORE-ORDERS@HARDWARESTORE.COM,WWW.HARDWARESTORE.COM,07:30 AM,07:00 PM,07:30 AM,07:00 PM,07:30 AM,07:00 PM,07:30 AM,07:00 PM,07:30 AM,07:00 PM,07:30 AM,06:00 PM,08:00 AM,05:00 PM,True,"in_store_pickup, ismor, open_7_days","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, regal, regal_int",False,False,False,42.17967,-73.363625,https://www.benjaminmoore.com/en-us/store-locator/10000164/aubuchon-hardware
10000165,NORTHEASTERN PAINT SUPPLY,3950 N EUCLID AVE,BAY CITY,MI,48706-2029,(989) 686-8190,DDON@NORTHEASTERNPAINT.COM ;DDON@NORTHEASTERNPAINT.COM,WWW.NORTHEASATERNPAINT.COM,08:00 AM,05:30 PM,08:00 AM,05:30 PM,08:00 AM,05:30 PM,08:00 AM,05:30 PM,08:00 AM,05:30 PM,08:00 AM,03:30 PM,,,False,"in_store_pickup, ismor","benjamin_moore, coronado, corotech, inslx","advance, aura, aura_bns, aura_ext, aura_int, ben, ben_int, ecospec, element_guard, regal, regal_ext, regal_int, wb_ceiling, woodluxe",True,False,False,43.662551,-83.914472,https://www.benjaminmoore.com/en-us/store-locator/10000165/northeastern-paint-supply
