Store Number,Store Name,City,State,Phone,Email,Owner/Principal,Registered Agent,Principal Address,Business Entity Name,Source,Status
10008605,BLOEDORN LUMBER COMPANY,FORT MORGAN,CO,(970) 867-5646,,,,,,,needs_manual
10008547,BLOEDORN LUMBER COMPANY - LOVE,LOVELAND,CO,(970) 667-2971,,,,,,,needs_manual
10021008,BUDGET HOME SUPPLY,LONGMONT,CO,(303) 678-8800,,,,,,pending,needs_manual
10014576,CHOICE BUILDING SUPPLY,CORTEZ,CO,(970) 565-4245,,,,,,,needs_manual
10014015,CO-OP COUNTRY,PALISADE,CO,(970) 464-7277,,,,,,,needs_manual
10014276,CO-OP COUNTRY,FRUITA,CO,(970) 858-3667,,,,,,,needs_manual
10014573,CO-OP COUNTRY,NUCLA,CO,(970) 864-7323,,,,,,,needs_manual
10006322,COLLBRAN SUPPLY INC.,COLLBRAN,CO,(970) 487-3341,,,,,,,needs_manual
10019644,COLORED RED,AURORA,CO,(303) 997-7263,SHANE@COLOREDRED.COM ;INFO@COLOREDRED.COM,,,,,pending,needs_manual
10000481,COLORS INC.,DURANGO,CO,(970) 382-0003,,,,,,,needs_manual
10014582,DELTA HARDWARE INC,DELTA,CO,(970) 874-9515,,,,,,,needs_manual
10000981,DENVER TRU-VALUE,DENVER,CO,(303) 393-0073,,,,,,,needs_manual
10010512,G4 COATINGS INC,PUEBLO,CO,(719) 543-4743,G4PAINTORDERS@GMAIL.COM ;G4COATINGSINC@GMAIL.COM,,,,,,needs_manual
10017374,GUIRY'S COLOR SOURCE,LOVELAND,CO,(970) 593-6320,SHELLIE.SMITH@GUIRYS.COM ;PAINT.STORE16@GUIRYS.COM,,,,,,needs_manual
10017377,GUIRY'S COLOR SOURCE,BOULDER,CO,(303) 442-7452,PAINT.STORE19@GUIRYS.COM ;PAINT.STORE19@GUIRYS.COM,,,,,,needs_manual
10017378,GUIRY'S COLOR SOURCE,DENVER,CO,(303) 333-3117,ORLANDO.FLORES@GUIRYS.COM ;PAINT.STORE21@GUIRYS.COM,,,,,,needs_manual
10017379,GUIRY'S COLOR SOURCE,FORT COLLINS,CO,(970) 482-7284,PAINT.STORE14@GUIRYS.COM ;PAINT.STORE14@GUIRYS.COM,,,,,,needs_manual
10017380,GUIRY'S COLOR SOURCE,COLORADO SPRINGS,CO,(719) 473-6982,PAINT.STORE23@GUIRYS.COM ;PAINT.STORE23@GUIRYS.COM,,,,,,needs_manual
10017384,GUIRY'S COLOR SOURCE,GRAND JUNCTION,CO,(970) 243-2236,PAINT.STORE24@GUIRYS.COM ;PAINT.STORE24@GUIRYS.COM ;PAINT.STORE24@GUIRYS.COM,,,,,,needs_manual
10017405,GUIRY'S COLOR SOURCE,EVANS,CO,(970) 339-9300,PAINT.STORE17@GUIRYS.COM ;PAINT.STORE17@GUIRYS.COM,,,,,pending,needs_manual
10006996,GUIRY'S COLOR SOURCE - BOULDER,BOULDER,CO,(303) 444-3800,PAINT.STORE4@GUIRYS.COM ;PAINT.STORE4@GUIRYS.COM ;PAINT.STORE4@GUIRYS.COM,,,,,,needs_manual
10000873,GUIRY'S COLOR SOURCE - CHERRY,DENVER,CO,(303) 757-5435,PAINT.STORE9@GUIRYS.COM ;PAINT.STORE9@GUIRYS.COM,,,,,,needs_manual
10012424,GUIRY'S COLOR SOURCE - HIGHLAN,DENVER,CO,(303) 433-6246,PAINT.STORE13@GUIRYS.COM ;PAINT.STORE13@GUIRYS.COM ;JUSTIN.WILKERSON@GUIRYS.COM ;PAINT.STORE13@GUIRYS.COM,,,,,,needs_manual
10017385,GUIRY'S COLOR SOURCE - LONGMON,LONGMONT,CO,(303) 776-0622,PAINT.STORE18@GUIRYS.COM ;PAINT.STORE18@GUIRYS.COM,,,,,,needs_manual
10002769,GUIRY'S COLOR SOURCE - WESTMIN,WESTMINSTER,CO,(303) 412-6522,PAINT.STORE8@GUIRYS.COM ;PAINT.STORE8@GUIRYS.COM ;PAINT.STORE8@GUIRYS.COM,,,,,,needs_manual
10001384,GUIRY'S COLOR SOURCE-CENTENNIA,CENTENNIAL,CO,(303) 770-2572,PAINT.STORE2@GUIRYS.COM ;PAINT.STORE2@GUIRYS.COM ;PAINT.STORE2@GUIRYS.COM ;PAINT.STORE2@GUIRYS.COM,,,,,,needs_manual
10006637,GUIRY'S COLOR SOURCE-DENVER SO,DENVER,CO,(303) 758-8244,PAINT.STORE1@GUIRYS.COM ;PAINT.STORE1@GUIRYS.COM ;PAINT.STORE1@GUIRYS.COM,,,,,,needs_manual
10010904,GUIRY'S COLOR SOURCE-FORT COLL,FT COLLINS,CO,(970) 449-4764,PAINT.STORE11@GUIRYS.COM ;PAINT.STORE11@GUIRYS.COM ;PAINT.STORE11@GUIRYS.COM,,,,,,needs_manual
10004112,GUIRY'S COLOR SOURCE-LAKEWOOD,LAKEWOOD,CO,(720) 496-2600,PAINT.STORE10@GUIRYS.COM ;PAINT.STORE10@GUIRYS.COM ;PAINT.STORE10@GUIRYS.COM,,,,,,needs_manual
10006842,GUIRY'S COLOR SOURCE-LITTLETON,LITTLETON,CO,(303) 972-9393,PAINT.STORE3@GUIRYS.COM ;PAINT.STORE3@GUIRYS.COM ;PAINT.STORE3@GUIRYS.COM ;PAINT.STORE3@GUIRYS.COM,,,,,,needs_manual
10000936,GUIRY'S COLOR SOURCE-PARKER,PARKER,CO,(303) 805-4714,PAINT.STORE7@GUIRYS.COM ;PAINT.STORE7@GUIRYS.COM ;PAINT.STORE7@GURIYS.COM ;PAINT.STORE7@GUIRYS.COM,,,,,,needs_manual
10013065,HERMAN LUMBER,BURLINGTON,CO,(719) 346-5546,,,,,,,needs_manual
10002922,HOME STORE,LAMAR,CO,(719) 336-7405,,,,,,,needs_manual
10001336,JAX FARM & RANCH,LAFAYETTE,CO,(303) 665-4900,,,,,,,needs_manual
10016827,JAX FARM & RANCH,LOVELAND,CO,(970) 488-7788,,,,,,,needs_manual
10008896,JAX OUTDOOR GEAR RANCH & HOME,BROOMFIELD,CO,(303) 439-1000,,,,,,,needs_manual
10002139,"JAX RANCH & HOME, INC.",FORT COLLINS,CO,(970) 484-2221,,,,,,,needs_manual
10011128,JUNIPER PAINTS,LOUISVILLE,CO,(303) 604-6004,PAUL@JUNIPERPAINTS.COM ;JUNIPERPAINTSTOM@GMAIL.COM ;8JAMES4@GMAIL.COM,,,,,,needs_manual
10013129,LA JUNTA TRADING CO,LA JUNTA,CO,(719) 384-7766,,,,,,,needs_manual
10021993,LAMAR BMS,LAMAR,CO,(719) 304-9940,,,,,,pending,needs_manual
10018256,M & M DECORATING CENTER,CANON CITY,CO,(719) 275-4478,,,,,,pending,needs_manual
10004865,MANWEILER HARDWARE,WINDSOR,CO,(970) 686-9934,,,,,,,needs_manual
10014594,MCGUCKIN HARDWARE,BOULDER,CO,(303) 443-1822,,,,,,,needs_manual
10000195,"MJK SALES & FEED, INC.",CRAIG,CO,(970) 824-6581,,,,,,,needs_manual
10019265,MOORE AT THE MEADOWS,CASTLE ROCK,CO,(720) 792-2555,TRAVISM@MOORELBR.COM ;LEANNEP@MOORELBR.COM ;KLINTC4@MOORELBR.COM ;MICHAELA4@MOORELBR.COM ;ETHANK4@MOORELBR.COM ;ALPS@MOORELBR.COM,,,,,pending,needs_manual
10015794,MOORE LUMBER & HARDWARE,CASTLE ROCK,CO,(303) 688-5121,DANG@MOORELBR.COM ;KLINTC4@MOORELBR.COM ;MICHAELA4@MOORELBR.COM ;ETHANK4@MOORELBR.COM ;DENICEE4@MOORELBR.COM ;JONB4@MOORELBR.COM ;MEGANS4@MOORELBR.COM,,,,,,needs_manual
10023289,"MOORE LUMBER & HARDWARE, WAREH",CASTLE ROCK,CO,(720) 792-2555,,,,,,pending,needs_manual
10006789,MOUNTAIN COLOR INC.,CRESTED BUTTE,CO,(970) 349-9200,,,,,,,needs_manual
10004023,MOUNTAIN HIGH PAINT LLC,RIFLE,CO,(970) 625-2816,,,,,,,needs_manual
10009824,NOCO PAINT & DESIGN LLC,WINDSOR,CO,(970) 460-9859,RYAN.HUISMAN@NOCOPAINTSTORE.COM ;CHRIS.LYNN@NOCOPAINTSTORE.COM ;FARRARI.BIZ@GMAIL.COM ;ANNA.HEUSTIS@NOCOPAINTSTORE.COM,,,,,,needs_manual
10006839,NORTHSIDE PAINT & DECORATING,WESTMINSTER,CO,(303) 451-1701,KEVIN.HASKINS@NORTHSIDEPAINT.COM ;BCR.NORTHSIDEPAINT@GMAIL.COM,,,,,,needs_manual
10013163,PANDHANDLE CREEK HARDWARE,RED FEATHER LAKES,CO,(970) 293-8406,,,,,,,needs_manual
10002722,PARK SUPPLY AND RENTAL INC.,ESTES PARK,CO,(970) 586-1730,PARKSUPPLYPAINT@GMAIL.COM ;JBPARKSUPPLY@YAHOO.COM,,,,,,needs_manual
10003839,PONCHA LUMBER,PONCHA SPRINGS,CO,(719) 539-4754,,,,,,,needs_manual
10001064,PONDEROSA PAINT CENTER,DENVER,CO,(303) 398-3000,COLFAXPONDEROSA@GMAIL.COM ;MATTDLLOYD247@GMAIL.COM ;COLFAXPONDEROSA@GMAIL.COM,,,,,,needs_manual
10016433,POUDRE VALLEY COOP,FORT COLLINS,CO,(970) 221-5300,,,,,,,needs_manual
10013825,PRONGHORN COUNTRY LTD,LIMON,CO,(719) 775-0580,,,,,,,needs_manual
10014055,QUALITY FARM & RANCH CENTER,YUMA,CO,(970) 848-5552,,,,,,,needs_manual
10014056,QUALITY FARM & RANCH CENTER,WRAY,CO,(970) 332-4931,,,,,,,needs_manual
10017848,ROCKY MOUNTAIN PAINT,MONTROSE,CO,(970) 874-8001,KALELUMBERREBAR@GMAIL.COM ;KAYLEE.HUSMANN@REBARANDLUMBER.COM,,,,,pending,needs_manual
10022203,ROCKY MOUNTAIN PAINT- TELLURID,TELLURIDE,CO,(970) 369-9350,NICK.RMPAINT@GMAIL.COM,,,,,pending,needs_manual
10013238,ROCKY MOUNTAIN REBAR & LUMBER,DELTA,CO,(970) 874-8443,MIKEB@REBARANDLUMBER.COM ;KUMBA@REBARANDLUMBER.COM ;DELBERT@REBARANDLUMBER.COM ;JERRY@REBARANDLUMBER.COM ;KAYLEE.HUSMANN@REBARANDLUMBER.COM,,,,,,needs_manual
10002137,SPECTRA PRO SUPPLY,CARBONDALE,CO,(970) 963-8699,CARBONDALE@SPECTRAPROSUPPLY.COM,,,,,,needs_manual
10017116,SPECTRA PRO SUPPLY,BASALT,CO,(970) 279-5738,BASALT@SPECTRAPROSUPPLY.COM,,,,,,needs_manual
10022585,SPECTRA PRO SUPPLY,SILVERTHORNE,CO,(970) 963-8699,BRANDON@SPECTRAPROSUPPLY.COM ;SILVERTHORNE@SPECTRAPROSUPPLY.COM,,,,,pending,needs_manual
10022644,SPECTRA PRO SUPPLY,BRECKENRIDGE,CO,(970) 423-6664,BRECKENRIDGE@SPECTRAPROSUPPLY.COM,,,,,pending,needs_manual
10015646,STEVE'S PAINT SUPPLY,COLORADO SPRINGS,CO,(719) 593-2107,,,,,,,needs_manual
10013336,STRATTON EQUITY CO-OP,STRATTON,CO,(719) 348-5784,,,,,,,needs_manual
10012697,THE ARVADA FLOORING COMPANY,ARVADA,CO,(303) 424-7333,,,,,,,needs_manual
10000790,THE PAINT BUCKET,EAGLE,CO,(970) 328-4695,WILL@THEPAINTBUCKET.COM ;TOM@THEPAINTBUCKET.COM ;CHRIS@THEPAINTBUCKET.COM ;KEN@THEPAINTBUCKET.COM ;CHRIS@THEPAINTBUCKET.COM ;TOM@THEPAINTBUCKET.COM ;WILL@THEPAINTBUCKET.COM,,,,,,needs_manual
10005091,THE PAINT BUCKET,AVON,CO,(970) 949-4695,WILL@THEPAINTBUCKET.COM ;RYAN@THEPAINTBUCKET.COM ;RYAN@THEPAINTBUCKET.COM ;AARON@THEPAINTBUCKET.COM ;WILL@THEPAINTBUCKET.COM,,,,,,needs_manual
10000730,THE PAINT BUCKET AT CONIFER,CONIFER,CO,(303) 816-4411,MARCUSBERGENPAINT@GMAIL.COM ;MARCUSBERGENPAINT@GMAIL.COM ;MIKE@THEPAINTBUCKET.COM ;MIKE@THEPAINTBUCKET.COM,,,,,,needs_manual
10006257,THE PAINT BUCKET AT EVERGREEN,EVERGREEN,CO,(303) 674-1605,TMMERROW@GMAIL.COM ;BOBBYBERGENPAINT@GMAIL.COM ;BOBBYBERGENPAINT@GMAIL.COM ;MIKE@THEPAINTBUCKET.COM ;MIKE@THEPAINTBUCKET.COM,,,,,,needs_manual
10021558,THE PAINT PALLET,COLORADO SPRINGS,CO,(719) 698-2094,THEPAINTPALLETCO@GMAIL.COM,,,,,pending,needs_manual
10014639,VALLEY HARDWARE,MEEKER,CO,(970) 878-4608,,,,,,,needs_manual
10003533,WRAY LUMBER CO.,WRAY,CO,(970) 332-5707,,,,,,,needs_manual
10001224,"WYLIE'S PAINT STORE, INC",FRASER,CO,(970) 363-7079,WYLIESPAINTSTORE@OUTLOOK.COM ;WYLIESPAINTSTORE@OUTLOOK.COM,,,,,,needs_manual
10013320,BUILDING MAINTENANCE & SUPPLY,WALLACE,ID,(208) 556-1164,,,Mark A Berger,,"BUILDING MAINTENANCE & SUPPLY, INC. (199359)",ID SOS,partial
10000237,COLOR HAUS,KETCHUM,ID,(208) 726-4589,JEFF@COLORHAUSPAINT.COM ;MORGANUHRIG@YAHOO.COM ;LOBATO-007@HOTMAIL.COM ;VJOTZOY@MSN.COM,,NO AGENT,,COLOR HAUS (135376),ID SOS,partial
10002178,FRANKLIN BLDG SUPPLY BURLEY,BURLEY,ID,(208) 678-8360,JOHNK@FRANKLINBUILDINGSUPPLY.COM,N/A,NO AGENT,N/A,FRANKLIN BUILDING SUPPLY (401770),ID SOS,found
10006443,FRANKLIN BUILDING SUPPLY,GOODING,ID,(208) 324-8161,,N/A,NO AGENT,N/A,FRANKLIN BUILDING SUPPLY (401770),ID SOS,found
10010229,MALLORY PAINT - MOSCOW,MOSCOW,ID,(208) 596-4267,MOSCOW@MALLORYPAINT.COM ;WYATT.STILES@MALLORYPAINT.COM ;WYATT.STILES@MALLORYPAINT.COM,JIM MALLORY,Richard  Reimer,"JIM MALLORY, 145 NW GILMAN BLVD, ISSAQUAH, WA 98027","Mallory Paint Store, Inc. (3876453)",ID SOS,found
10017784,MALLORY PAINT - PONDERAY,PONDERAY,ID,(208) 263-9182,PONDERAY@MALLORYPAINT.COM ;PONDERAY@MALLORYPAINT.COM,,,,,pending,needs_manual
10022636,MALLORY PAINT STORE - BOISE,BOISE,ID,(208) 343-4811,SARAH.ROSS@MALLORYPAINT.COM ;BRENT.PERRY@MALLORYPAINT.COM,,,,,pending,needs_manual
10012681,MALLORY PAINT STORE - COEUR,COEUR D ALENE,ID,(208) 771-7922,CDA@MALLORYPAINT.COM ;JEFF.REIMER@MALLORYPAINT.COM ;CDA@MALLORY.COM ;CDA@MALLORYPAINT.COM ;JEFF.REIMER@MALLORYPAINT.COM,JIM MALLORY,Richard  Reimer,"JIM MALLORY, 145 NW GILMAN BLVD, ISSAQUAH, WA 98027","Mallory Paint Store, Inc. (3876453)",ID SOS,found
10023209,MALLORY PAINT STORE - EAGLE,EAGLE,ID,(208) 555-1234,JIM@MALLORYPAINTSTORE.COM,,,,,pending,needs_manual
10022639,MALLORY PAINT STORE - MERIDIAN,MERIDIAN,ID,(208) 473-7297,SARAH.ROSS@MALLORYPAINT.COM ;BRIAN.LEVARIO@MALLORYPAINT.COM,,,,,pending,needs_manual
10022635,MALLORY PAINT STORE - NAMPA,NAMPA,ID,(208) 465-5629,SARAH.ROSS@MALLORYPAINT.COM ;STEVEN.WALKER@MALLORYPAINT.COM,,,,,pending,needs_manual
10012876,MAY'S HARDWARE INC,MCCALL,ID,(208) 634-7665,,,DWIGHT E BAKER,,"MAYS LAND & LIVESTOCK, INC. (124690)",ID SOS,partial
10014915,NORTH CANYON HARDWARE,GOODING,ID,(208) 934-4032,,25715 NORTH 8800 WEST,STACY  CLARK,"25715 NORTH 8800 WEST, PORTAGE, UT 84331",NORTH AND MIDDLE CANYON IRRIGATION AND LIVE STOCK COMPANY (37212),ID SOS,found
10005589,"PRO PAINT, INC.",BURLEY,ID,(208) 878-0856,,,RICHARD B RANDKLEV,,"PRO PAINT, INC. (291447)",ID SOS,partial
10017115,RIDLEY'S FAMILY MARKET - STAR,STAR,ID,(208) 329-0043,,621 WASHINGTON STREET SOUTH,REGISTERED AGENTS INC,"621 WASHINGTON STREET SOUTH, TWIN FALLS, ID 83301","RIDLEY'S FAMILY MARKETS, INC. (602087)",ID SOS,found
10010550,RIVER CITY PAINT & DECORATING,POST FALLS,ID,(208) 777-7101,RIVERCITYPAINTS@GMAIL.COM ;DAVIDTHEYOUNGER87@GMAIL.COM,444 N BAY STREET,DAVID R PEREZ,"444 N BAY STREET, POST FALLS, ID 83854","RIVER CITY PAINT AND DECORATING, LLC (125928)",ID SOS,found
10004292,SAWTOOTH PAINT & AIRLESS,HAILEY,ID,(208) 788-5346,GERRY@SAWTOOTHPAINT.COM ;JEFF@COLORHAUSPAINT.COM ;RAMONRUBALCAVA0@GMAIL.COM ;SIGIJUAREZ@YAHOO.COM,,Jeff S Burrell,,"SAWTOOTH PAINT AND AIRLESS, INC. (361024)",ID SOS,partial
10009183,STAN'S PAINT CLINIC INC.,IDAHO FALLS,ID,(208) 523-0031,HUTCH@STANSPAINT.COM ;APRIL@STANSPAINT.COM ;APRIL@STANSPAINT.COM ;ROBIN@STANSPAINT.COM ;HUTCH@STANSPAINT.COM ;GREG@STANSPAINT.COM,,ROBIN  GOLD,,"STAN'S PAINT CLINIC, INC. (184251)",ID SOS,partial
10011169,STANDARD HARDWARE,TWIN FALLS,ID,(208) 733-4848,,N/A,NO AGENT,N/A,STANDARD AIR (567664),ID SOS,found
10010052,STANDARD HARDWARE AND PLUMBING,MOUNTAIN HOME,ID,(208) 587-4165,,ONE MOODY PLAZA,C T CORPORATION SYSTEM,"ONE MOODY PLAZA, GALVESTON, TX 77550",Standard Life and Accident Insurance Company (4318446),ID SOS,found
10018150,STANDARD PLUMBING SUPPLY,NAMPA,ID,(801) 209-3990,,,,,,pending,needs_manual
10011547,STANDARD TRUE VALUE,DRIGGS,ID,(208) 228-0156,,N/A,NO AGENT,N/A,STANDARD TRUE VALUE (609700),ID SOS,found
10015481,TRI-STATE DISTRIBUTORS,MOSCOW,ID,(208) 882-4555,,N/A,NO AGENT,N/A,TRI STATE DISTRIBUTORS (423057),ID SOS,found
10000110,VALLEY LUMBER & RENTAL,VICTOR,ID,(208) 787-9663,,N/A,NO AGENT,N/A,Valley Lumber & Rental (5737277),ID SOS,found
10013956,BAKER AREA HARDWARE,BAKER,MT,(406) 778-3359,,,,,,,needs_manual
10018619,BEAVERHEAD HOME CENTER (DIB),DILLON,MT,(406) 683-4911,,,,,,pending,needs_manual
10019738,BILLINGS PAINT CENTER,BILLINGS,MT,(406) 656-6008,406CUSTOMCOATINGS@GMAIL.COM,,,,,pending,needs_manual
10008578,BLOEDORN LUMBER COMPANY,MILES CITY,MT,(406) 232-6677,,,,,,,needs_manual
10008585,BLOEDORN LUMBER COMPANY,BILLINGS,MT,(406) 259-4534,,,,,,,needs_manual
10008570,BLOEDORN LUMBER COMPANY - LEWI,LEWISTOWN,MT,(406) 538-7666,,,,,,,needs_manual
10011779,BLOEDORN LUMBER COMPANY-DARBY,DARBY,MT,(406) 821-3021,,,,,,,needs_manual
10014392,DE VOE'S BUILDING SERVICE,VALIER,MT,(406) 279-3251,,,,,,,needs_manual
10018603,ENNIS LUMBER COMPANY (DIB),ENNIS,MT,(406) 682-3889,,,,,,pending,needs_manual
10020686,GARDEN CITY PAINT & GLASS,MISSOULA,MT,(406) 549-0608,,,,,,pending,needs_manual
70000014,GUELFF LUMBER,GLENDIVE,MT,(406) 3653121,,,,,,pending,needs_manual
70000033,"HANDRAN'S HOME CENTER, LLC",SCOBEY,MT,(406) 4872050,,,,,,pending,needs_manual
10013403,INLAND EMPIRE BUILDERS,THOMPSON FALLS,MT,(406) 827-3519,,,,,,,needs_manual
10012356,KENYON NOBLE LUMBER & HARDWARE,LIVINGSTON,MT,(406) 222-0761,,,,,,,needs_manual
10012358,KENYON NOBLE LUMBER & HARDWARE,BELGRADE,MT,(406) 388-6400,,,,,,,needs_manual
10010863,KENYON NOBLE LUMBER COMPANY,BOZEMAN,MT,(406) 586-2384,,,,,,,needs_manual
10013827,MARKLE'S INC,GLASGOW,MT,(406) 228-9367,,,,,,,needs_manual
10009980,MASSA HOME CENTER,HAMILTON,MT,(406) 363-1922,,,,,,,needs_manual
10004703,PIONEER HARDWARE,STANFORD,MT,(406) 566-2360,,,,,,,needs_manual
10012540,POWER TOWNSEND,HELENA,MT,(406) 442-2770,,,,,,,needs_manual
10012414,PRIME PAINT STORE,KALISPELL,MT,(406) 212-7830,JP@PRIMEPAINTSTORE.COM ;STORE@PRIMEPAINTSTORE.COM ;JP@PRIMEPAINTSTORE.COM ;STORE@PRIMEPAINTSTORE.COM,,,,,,needs_manual
10014218,ROCK HAND HARDWARE,HELENA,MT,(406) 442-7770,,,,,,,needs_manual
10014928,ROME ENTERPRISES,DEER LODGE,MT,(406) 846-2461,,,,,,,needs_manual
10013850,SEILERS HARDWARE,THREE FORKS,MT,(406) 628-5666,,,,,,,needs_manual
10000221,THE PAINT FACTORY,BOZEMAN,MT,(406) 585-7117,,,,,,,needs_manual
10022832,THE PAINT STORE,GREAT FALLS,MT,(406) 727-8000,GLOBALALISA@HOTMAIL.COM,,,,,pending,needs_manual
10002173,THREE FORKS LUMBER CO,THREE FORKS,MT,(406) 285-3281,,,,,,,needs_manual
10001472,ULLMAN LUMBER COMPANY,BIG TIMBER,MT,(406) 932-5332,,,,,,,needs_manual
10002134,AUCUTT'S PAINT STORE,CLOVIS,NM,(575) 769-2181,,,,,,,needs_manual
10004353,CORONADO PAINT & DECORATING IN,SANTA FE,NM,(505) 473-5333,BUDDY@CORONADODECORATING.COM,,,,,,needs_manual
10000090,GALLUP LUMBER & SUPPLY CO.,GALLUP,NM,(505) 863-4475,,,,,,,needs_manual
10017386,GUIRY'S COLOR SOURCE,ALBUQUERQUE,NM,(505) 243-1000,PAINT.STORE26@GUIRYS.COM ;PAINT.STORE26@GUIRYS.COM,,,,,,needs_manual
10017387,GUIRY'S COLOR SOURCE,SANTA FE,NM,(505) 983-8113,PAINT.STORE25@GUIRYS.COM ;PAINT.STORE25@GUIRYS.COM,,,,,,needs_manual
10017398,GUIRY'S COLOR SOURCE,FARMINGTON,NM,(505) 325-9851,PAINT.STORE27@GUIRYS.COM ;PAINT.STORE27@GUIRYS.COM,,,,,pending,needs_manual
10023141,JOHNSTON'S HARDWARE,LAS CRUCES,NM,(575) 524-3586,,,,,,pending,needs_manual
10014640,QUESTA LUMBER & HARDWARE,QUESTA,NM,(575) 586-0414,,,,,,,needs_manual
10013672,R & K ENTERPRISES INC,SOCORRO,NM,(575) 835-1872,,,,,,,needs_manual
10002129,SMITH PAINT CO INC,ROSWELL,NM,(575) 622-2020,,,,,,,needs_manual
10003770,THE COLOR COMPANY,ALBUQUERQUE,NM,(505) 323-6000,JARED@COLORABQ.COM ;PAINT@COLORABQ.COM,,,,,,needs_manual
10022814,THE COLOR COMPANY,ALBUQUERQUE,NM,(505) 262-1775,,,,,,pending,needs_manual
10021817,VILLAGE HARDWARE,HATCH,NM,(575) 267-4839,,,,,,pending,needs_manual
10021766,C.H. PAINT,LAS VEGAS,NV,(702) 988-9546,CHUCK.PECK1@GMAIL.COM ;CANTHARDLYPAINT@CHPAINTSTORE.COM,,,,,pending,needs_manual
10000912,CARSON PAINT MART,CARSON CITY,NV,(775) 461-0998,BILLY@RENOPAINTMART.COM ;BRAD@RENOPAINTMART.COM ;KAYLA@RENOPAINTMART.COM,,,,,NV SOS (browser),no_match
10020528,CARTER BROTHERS,RENO,NV,(775) 337-1200,,,,,,pending,needs_manual
10014861,LANDER HARDWARE,BATTLE MOUNTAIN,NV,(775) 635-2422,,,,,,,needs_manual
10014499,LOUIE'S HOME CENTER,FALLON,NV,(775) 423-7008,,,,,,,needs_manual
10004306,MESQUITE LUMBER & SUPPLY,MESQUITE,NV,(702) 346-5277,,,,,,,needs_manual
10018834,MOUNTAIN HDWE & SPORTS INCLINE,INCLINE VILLAGE,NV,(775) 831-2020,,,,,,pending,needs_manual
10000322,RENO PAINT MART INC.,RENO,NV,(775) 826-2900,KAYLA@RENOPAINTMART.COM,Bradley R. Becker (President),"MAUPIN, COX & LEGOY","201 East Moana Lane, Reno, NV 89509","RENO PAINT MART, INC.",NV SOS (browser),found
